token,title,publish_date,city,district,url,description,mileage,year_raw,color,brand_model,third_party_insurance,Gearbox_type,Gearbox_condition,fuel_type,asking_price_raw,engine_condition,chassis_condition,body_condition,vehicle_type,asking_price,mileage_km,year_jalali,year_gregorian,price_corrected,price_original_raw,price_flag_extreme_high,mileage_flag_high,brand,is_pickup,brand_matched,insurance_months_left,brand_freq,district_freq,city_freq,fuel_type_freq,Gearbox_type_freq,Gearbox_condition_freq,engine_condition_freq,chassis_condition_freq,body_condition_freq
gapduKJt,رانا پلاس دیسک_کاسه_مدل ۱۴۰۵_صفر تحویل فوری,2026-07-30 12:34:00,تهران,صادقیه,https://divar.ir/v/gapduKJt,"⚪️صنعت خودروی جباری بیش از ۱۵سال سابقه کار⚪️

شرایط فروش:
✅فروش نقدی و تحویل آن
✅۲۴ساعت مهلت کارشناسی
✅امکان خرید طلا،شمش،دلار،یورو به قیمت روز
✅تسویه پس از تحویل و تایید کارشناس شما
✅تحویل خودرو به روز مستقیم از پارکینگ نمایندگی
✅سند آزاد مدارک خودرو تکمیل آماده انتقال
امکان نصب تمامی آپشن های خودرو به صورت سفارشی با بهترین کیفیت و نازلترین قیمت 

کارشناس فروش:خانم وفایی

☎️برای اطلاعات بیشتر و دریافت قیمت لحظه ای خودرو لطفا تماس بگیرید با کارشناس فروش.",۰,۱۴۰۵ - ۲۰۲۶,سفید,رانا پلاس TU5P,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۶۹۵,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1695000000.0,0.0,1405.0,2026.0,False,,False,False,رانا,False,False,12.0,0.007995079950799507,0.028591851322373123,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaQegi2Y,بستیون T77 _سانتافه.اپتیما.توسان_نقدواقساط,2026-08-28 20:19:00,تهران,نارمک,https://divar.ir/v/gaQegi2Y,"سلام ماشین بشدت تمییز و لازرورق بدون حتی یک نقطه رو سپر 
موتور و گیربکس faw میتسویشی
این ماشین در دو نسخه وارداتی و مونتاژی هست که هم قیمتی و هم کیفیتی بشدت باهم فرق دارند
و مونتاژی ها قیمتی حدود چهار میلیارد دارند 
لطف کنید اول بازدید اون ها برید تا هم ببتید موتورشون چجوری ناک میزنه و هم کیفیت رو ببنید بعد برای بازدید ماشین من تشریف بیارید تا با یه مقایسه ساده متوجه حرف بنده شید 
یا میتونید از نمایندگی مرکزی استعلام حرف بنده رو بگیرید 
ماشین بنده فول وارداتی هست و قیمتی پنج و سیصد این ها داره که بنده به دلیل پول لازم بودن زیر قیمت گذاشتم
بازدید فقط خرید
بهترین سرامیک و ضد خش و سوختگی انجام شده روی ماشین
فوری فروشی
با ۲۰۷ هم معاوضه میشه و مابقی نقد گرفته میشه",۱۸۰۰۰,۱۴۰۲ - ۲۰۲۳,کربن بلک,بستیون T77,۸ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۴,۸۳۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,4830000000.0,18000.0,1402.0,2023.0,False,,False,False,بستیون,False,False,8.0,0.0006150061500615006,0.006433166547533953,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaoq_MK2,ماشین ۱۱۱ تمیز,2026-09-15 11:26:00,تهران,ولنجک,https://divar.ir/v/gaoq_MK2,ماشین تمیز بی رنگ مناسب مصرف کننده عکس کارشناسی موجود است خریدار تماس بگیر,۱۴۰۰۰۰,۱۳۹۲ - ۲۰۱۳,سفید,پراید 111 ساده,,دنده‌ای,سالم و پلمپ,بنزین,"‏۷۳۰,۰۰۰,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,730000000.0,140000.0,1392.0,2013.0,False,,False,False,پراید,False,False,,0.13899138991389914,0.002144388849177984,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.05289052890528905,0.06545209176788123,0.602091020910209
game0bJc,تویوتا کرولا کراس نیوفیس2026,2026-09-13 10:19:00,تهران,اباذر,https://divar.ir/v/game0bJc,"**گروه خودرویی ستوده با بیش از ده شعبه فعال**
*نمایندگی رسمی نادین خودرو کد۸۲۸*
*تویوتا کرولا کراس هیبرید
*ثبت نام به نام مشتری
*پیش پرداخت اول۴۸۰۰از طریق لینک
*تحویل۶۰روزکاری
*رنگ سفید
*با قیمت قطعی۸٫۰۵۰
*جهت کسب اطلاعات و ثبت نام تماس بگیرید",۰,۲۰۲۶,سفید,تویوتا کرولا کراس هیبرید 2 لیتری,۱۲ ماه,اتوماتیک,سالم و پلمپ,هیبرید,"‏۸,۰۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,8050000000.0,0.0,1405.0,2026.0,False,,False,False,تویوتا,False,False,12.0,0.02214022140221402,0.0007147962830593281,0.3013530135301353,0.013530135301353014,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaR02TC9,نیسان زامیاد_ دوگانه_تک اکستند EX صفرتحویل فوری,2026-05-23 12:35:00,تهران,شهرآرا,https://divar.ir/v/gaR02TC9,"مارال خودرو ( عاملیت مجاز خودروهای داخلی و خارجی )   

کد انحصاری و نمایندگی  (558512 )

چندین سال سابقه ی فروش درخشان در تهران 

✅فروش بصورت نقدی و تحویل فوری 

✅ نمایندگی فروش محصولات ایران خودرو ٫ سایپا ٫ مدیران خودرو ٫ گروه بهمن و …

◀️  پرداخت وجه بعد از کارشناسی و تحویل خودرو 

◀️ تنوع در انتخاب رنگ 

◀️  تمامی خودروها سند آزاد میباشند
 
◀️  خرید مستقیم از نمایندگی بدون هیچ واسطه ای

✅جهت مشاوره با کارشناس فروش تماس حاصل فرمایید.
 
در صورت عدم پاسخگویی بصورت حضوری مراجعه فرمائید.

کارشناس فروش خانـم کرمی 

( با تشکر از اعتماد و انتخاب شما از مجموعه مـارال خـودرو )",۰,۱۴۰۵ - ۲۰۲۶,سفید,زامیاد اکستند EX دوگانه سوز,,دنده‌ای,,بنزین,"‏۱,۹۹۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1990000000.0,0.0,1405.0,2026.0,False,,False,False,زامیاد,False,False,,0.012300123001230012,0.007147962830593281,0.3013530135301353,0.8714637146371463,0.708626198083067,,0.9317343173431735,0.9197031039136302,0.602091020910209
gak2ufaZ,کی ام سی X5 مدل 1404,2026-09-12 09:48:00,تهران,نیروی هوایی (پیروزی),https://divar.ir/v/gak2ufaZ,"خودرو بدون رنگ و خط و خش
برج‌ ۱۰ ۱۴۰۴
مشابه صفر کیلومتر
گارانتی فعال
تک برگ سند 
درجه یک",۲۰۰۰۰,۲۰۲۵,مشکی,کی ام سی ایکس 5,۵ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۴,۶۰۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,4600000000.0,20000.0,1404.0,2025.0,False,,False,False,کی,False,False,5.0,0.020910209102091022,0.004288777698355968,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
ganKKq4v,فروش خودرو x22 پرو مدل ۱۴۰۱,2026-09-14 11:11:00,تهران,تهرانپارس غربی,https://divar.ir/v/ganKKq4v,خودرو x22 پرو مشکی مدل ۱۴۰۱ بدون رنگ در حد صفر,۴۵۰۰۰,۱۴۰۱ - ۲۰۲۲,مشکی,ام وی ام X22 Pro IE,۷ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۲,۲۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2250000000.0,45000.0,1401.0,2022.0,False,,False,False,ام,False,False,7.0,0.03874538745387454,0.004288777698355968,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaoqvHcV,کوییک بی رنگ,2026-09-15 11:26:00,تهران,خاوران,https://divar.ir/v/gaoqvHcV,"مدل ۲۰/۱۰/۱۴۰۰
بی رنگ
شیشه دودی
ضبط پایونیر
پفی سه بعدی
فنی در حد ۴۰ تا کار واقعی
سند دست اول",۴۰۰۰۰,۱۴۰۰ - ۲۰۲۱,سفید,کوییک دنده ای ساده,۷ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۹۹۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,990000000.0,40000.0,1400.0,2021.0,False,,False,False,کوییک,False,False,7.0,0.041820418204182044,0.0014295925661186562,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaoq_HrL,۲۰۷ اتومات سفید ۱۹۷ تا کارکرد,2026-09-15 11:26:00,تهران,دروازه شمیران,https://divar.ir/v/gaoq_HrL,"سلام و عرض ادب
۲۰۷ سفید اتومات دور رنگ
کارکرد ۱۹۷ هزارتا",۱۹۷۰۰۰,۱۳۹۱ - ۲۰۱۲,سفید,پژو 207i اتوماتیک TU5P,,اتوماتیک,,بنزین,"‏۱,۲۰۰,۰۰۰,۰۰۰ تومان",تعیین‌نشده,سالم و پلمپ,دوررنگ,,1200000000.0,197000.0,1391.0,2012.0,False,,False,False,پژو,False,False,,0.2816728167281673,0.0007147962830593281,0.3013530135301353,0.8714637146371463,0.28626198083067095,,0.05289052890528905,0.9197031039136302,0.0984009840098401
gaom_9uQ,فروش نقدی خودرو فیدلیتی پرستیژ سفید داخل طوسی,2026-09-15 11:26:00,تهران,دریا,https://divar.ir/v/gaom_9uQ,"●●فروش نقدی تمام خودروهای صفر●●

فروش خودرو فیدلیتی پرستیژ 7 نفره سفید طوسی صفر

موجود نمایشگاه 
واریز مبلغ بعد از تحویل خودرو

خودروها موجود نمایشگاه صفر وسالم به شرط کارشناسی

بدون کارمزد و کمیسیون 


به دلیل نوسان بازار برای استعلام قیمت دقیق تماس بگیرید


برای کسب اطلاعات بیشتر باشماره زیر تماس بگیرید

خانم حسنی 

***********",۰,۲۰۲۶,سفید,فیدلیتی پرستیژ 7 نفره,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۸,۱۰۰,۰۰۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,8100000000.0,0.0,1405.0,2026.0,True,8100000000000.0,False,False,فیدلیتی,False,False,12.0,0.006150061500615006,0.007147962830593281,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
