token,title,publish_date,city,district,url,description,mileage,year_raw,color,brand_model,third_party_insurance,Gearbox_type,Gearbox_condition,fuel_type,asking_price_raw,engine_condition,chassis_condition,body_condition,vehicle_type,asking_price,mileage_km,year_jalali,year_gregorian
gaXCf1Cr,شروع ثبت نام تویوتا الیت نیو فیس,2026-09-02 13:19:00,تهران,پاسداران,https://divar.ir/v/gaXCf1Cr,"ثبت نام تویوتا کرولا الیت 
رنگ بندی سفید/ مشکی 
پرداخت مستقیم از طریق لینک برای شرکت 
بدون هزینه ی اضافی 
فرصتی مناسب برای سرمایه گذاری و مصرف",۰,۲۰۲۶,سفید,تویوتا کرولا هیبرید 1800 لیتر الیت,۱۲ ماه,اتوماتیک,سالم و پلمپ,هیبرید,"‏۱,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000000.0,0.0,1405.0,2026.0
gaB9DbWD,تویوتا لندکروز تعداد VXR 2025_2026,2026-06-28 19:12:00,تهران,نیاوران,https://divar.ir/v/gaB9DbWD,"❌ تک فروشی نداریم ❌

تویوتا لندکروز  VXR
توئین توربو

سفید و مشکی
سفارش عمان

تعداد از 5 تا به بالا 

قیمت داخل مارون متفاوت است 
پلاک ملی شده

❌ فروش فقط نقد ❌
ارائه تمکن مالی الزامی میباشد",۰,۲۰۲۶,سفید,تویوتا لندکروزر 4 در 6 سیلندر 3.4 لیتر توربو VXR,,,,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
gaJ6EMT3,نیسان جوک,2026-08-22 10:55:00,تهران,جردن,https://divar.ir/v/gaJ6EMT3,"با سـلام 
خــودرو 
 نیسان جوک اسپرت
مدل 2017
فــول ترین حالت ممکن 
با رادار جانبی و رادار نقطـه کـور
و...
تمامـی سرویس ها در نمایندگی انجام شده
و کلیومتر با تاییده نمایندگی 
فنـی و سـواری به شرط
بدون کوچکترین هـزیـنه
خـودرو تک برگ سنـد  و کاملاً بـدون رنگ میباشد
به قیمت گذاشتم 
احتراماً فقط مصرف کننده",۱۲۳۰۰۰,۲۰۱۷,مشکی,نیسان جوک اسپرت,۸ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,123000.0,1396.0,2017.0
galmDEiK,خودرو اقساطی با 10 درصد پیش پرداخت,2026-09-12 15:06:00,تهران,فلسطین (میدان انقلاب),https://divar.ir/v/galmDEiK,"خودروی دلخواهت رو با شرایط ویژه اقساطی بخر!

 فقط 10٪ پیش‌پرداخت
 امکان معاوضه خودرو به‌جای بخشی از پیش‌پرداخت
 خودروهای صفر و کارکرده
✨ شرایط اقساطی متنوع

فرقی نمی‌کنه دنبال چه خودرویی باشی؛
شرایطت رو بفرست تا کارشناسان ما راهنماییت کنن. 

 برای دریافت مشاوره، این موارد رو ارسال کن:
 نام و نام خانوادگی:
 شماره تماس:
 خودرو موردنظر:

 همکاران ما در اسرع وقت با شما تماس می‌گیرند.",۰,۱۴۰۵ - ۲۰۲۶,سفید,سمند سورن ELX,,,,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
QaSabvI_,BAC X3 - تحویل فوری 1404 - کراس اور,2026-02-17 11:09:00,تهران,قیام,https://divar.ir/v/QaSabvI_,"⚜نمایندگی رسمی کرمان موتور رفیعی نیا کد 1762⚜

خودرو داخل نمایندگی موجود است
ثبت قرارداد رسمی در نمایندگی کرمان موتور
⚡تحویل روز و نقدی
بشرط کارشناس خریدار
✅سند و مدارک اماده انتقال
✅بدون هزینه اضافی و کمیسیون
✅صفر خشک 

⭐با خرید این خودرو، معامله‌ای امن، مطمئن و معتبر را تجربه خواهید کرد.
-----------------------------------------------------------------------
ادرس نمایندگی :
خیابان هفده شهریور(میدان شهدا به سمت میدان خراسان) - پایین تر از پل آهنگ - نرسیده به بلوارقیام - پلاک 818

پشتیبان : خانم نجفی

جهت اطلاعات بیشتر با کارشناسان ما در ارتباط باشید.",۰,۲۰۲۵,سفید,بی ای سی ایکس 3 پرو,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,0.0,1404.0,2025.0
gaK8bjfR,کی ام سی ایگل_ KMC EAGLE _ 1405,2026-05-18 10:58:00,تهران,قیام,https://divar.ir/v/gaK8bjfR,"نمایندگی رسمی کرمان موتور 
رفیعی نیا 

حواله نمایندگی رسمی کرمان موتور
تحویل خودرو فوری 
مدل خودرو :1405 و 1404
قیمت قطعی
ثبت قرارداد رسمی در نمایندگی کرمان موتور
بدون کمیسیون و هزینه اضافی
محدوده :شرق ( 17 شهریور )

پشتیبان : خانم نجفی

جهت کسب اطلاعات بیشتر با همکاران ما در ارتباط باشید.",۰,۱۴۰۵ - ۲۰۲۶,سفید,کی ام سی ایگل 1.5 لیتر بنزینی,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,10000.0,0.0,1405.0,2026.0
gaPeD13L,تویوتا کمری هیبرید LE ژاپن ۲۰۲۵ ترخیص ۲۰۲۶,2026-08-26 22:34:00,تهران,سعادت آباد,https://divar.ir/v/gaPeD13L,"خودرو تویوتا کمری هیبرید ۲۰۲۵ 
شخصی وارد شده رنگ خاص نوک مدادی ژاپن
کیفیت رانندگی نرم و عالی
کیفیت قطعات و مونتاژ عالی
بسیار کم مصرف و با دوام
با آپشن های کارخانه ای صندلی پارچه و ...
خودرو شهرستان است و امکان حمل به تهران و هر شهر دیگر وجود دارد
دارای پلاک و سند و کارت و آماده انتقال
بیمه ثالث
گارانتی از امروز شروع شد.",۰,۲۰۲۵,نوک مدادی,تویوتا Camry hybrid 2.5L Limited,,,,هیبرید,"‏۱۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,10000.0,0.0,1404.0,2025.0
gaoi_uCq,آیدی یونیکس الترا و پیور صفر 2025 idunyx,2026-09-15 11:20:00,تهران,زرگنده,https://divar.ir/v/gaoi_uCq,"✅اتو مدیران :انتخابی مطمئن  فردایی بهتر 
فروش تخصصی محصولات وارداتی ماموت خودرو  ومدیران خودرو ،کرمان 
و بهمن خودرو
##موجود در رنگ‌های مختلف##
 ◀️ فروش ب صورت نقد و اقساط ▶️ 
✅کارشناسی خودرو قبل از تسویه 
✅تحویل خودرو همزمان با تسویه
✅طرح تعویض خودروهای کارکرده با صفر
✅خودرو بر رایگان 
✅کارشناسی رایگان و رویت خودرو قبل از تحویل
✅شرایط اقساط متنوع ۱ تا۶۰ ماه
✅امکان تسویه زود تر از موعد
✅برای اطلاعات بیشتر تماس بگیرید 

ارادتمند اصلانی
***

آدرس:شریعتی خیابان ظفر
(دستگردی)
پلاک ۳۲ اتو مدیران",۰,۲۰۲۵,آبی,فولکس ID Unyx 06 Ultra,۱۲ ماه,اتوماتیک,سالم و پلمپ,برق,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1404.0,2025.0
gagKyN7Y,تویوتا کمری ۲۰۲۴ فول ، پرمیوم ادیشن چین,2026-09-08 18:27:00,تهران,زعفرانیه,https://divar.ir/v/gagKyN7Y,"فول امکانات با هدآپ 
 سند و مدرک اماده و شخصی",۱۰۰۰,۲۰۲۴,سفید,تویوتا Camry hybrid premium edition 2.5L,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,1000.0,1403.0,2024.0
gaoi_Mjd,پروتونGen2 مدل ۱۳۸۹سند دست اول فوق سالم کم کارکرد,2026-09-15 11:18:00,تهران,شهران شمالی,https://divar.ir/v/gaoi_Mjd,"وضعیت سند: تک‌برگ سند (سند دست اول از کمپانی، آماده انتقال قطعی در محضر)
کارکرد: ۱۸۰,۰۰۰ کیلومتر واقعی به شرط کارشناسی دیاگ (خودرو چند سال در پارکینگ مسقف خواب بوده است)
وضعیت بدنه: به دلیل زیبایی و حساسیت بالا به تازگی دوررنگ شده با بهترین متریال و کیلر آلمانی باکیفیت و براقیت فوق‌العاده. سقف، ستون‌ها، شاسی‌های جلو و عقب کاملاً پلمپ، دست‌نخورده و بدون ضربه.
وضعیت فنی: موتور، گیربکس، زیربندی و سیستم تعلیق در ایده‌آل‌ترین وضعیت ممکن. بدون یک ریال خرج مصرفی یا فنی.
توضیحات تکمیلی: داخل کابین بسیار تمیز، ادوات برقی کاملاً فعال و سالم.
خانگی",۱۸۰۰۰۰,۲۰۱۰,مسی,پروتون جن تو دنده ای,,دنده‌ای,سالم و پلمپ,بنزین,"‏۸۹۵,۰۰۰ تومان",سالم,سالم و پلمپ,دوررنگ,,895000.0,180000.0,1389.0,2010.0
gaoiPAjp,بیجینگ ایکس 7 1405,2026-09-15 11:17:00,تهران,چوب تراش,https://divar.ir/v/gaoiPAjp,"✅گروه خودرویی ستوده
✅تخصصی ترین مرجع خرید و فروش خودرو در کشور✅
نمایندگی رسمی ماموت خودرو
✅خرید مستقیم از نمایندگی بدون واسطه
❌دفتر فروش نیستیم❌ بدون هزینه اضافی
✅بیجینگ ایکس 7
✅مدل 1405
✅رنگ بندی | سفید 
✅تحویل فوری 
✅جهت اطلاعات بیشتر تماس بگیرید",۰,۲۰۲۶,سفید,بایک Beijing X7,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
gag6OdDf,پراید ،معاوضه ،مشاوره خریدار ،تصادفی,2026-09-09 09:02:00,تهران,پرستار,https://divar.ir/v/gag6OdDf,بالاترین قیمت از ما بگیرید تسویه لحظه ایی خریدار انواع تصادفی,۵۵۰۰۰,۱۳۸۸ - ۲۰۰۹,سفید,پراید 132 ساده,۳ ماه,دنده‌ای,,بنزین,"‏۸۵,۰۰۰,۰۰۰ تومان",سالم,,تصادفی,,85000000.0,55000.0,1388.0,2009.0
gaoe_o79,پژو تیوفایو402,2026-09-15 11:16:00,تهران,شادآباد,https://divar.ir/v/gaoe_o79,"کارکرد 67500
بیمه تاج برج 8
بیمه بدنه",۶۷۵۰۰,۱۴۰۲ - ۲۰۲۳,سفید,پژو پارس LX TU5,۳ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۲۱,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,21000000.0,67500.0,1402.0,2023.0
